Timestamp,Container,CPU_Perc,Mem_Usage,Mem_Perc
15:19:48,etl-scheduler-docker-compose-postgres-1,1.77%,44.17MiB / 7.654GiB,0.56%
15:19:56,etl-scheduler-docker-compose-airflow-1,9.43%,1.368GiB / 7.654GiB,17.88%
15:19:56,etl-scheduler-docker-compose-postgres-1,1.07%,44.28MiB / 7.654GiB,0.56%
15:20:04,etl-scheduler-docker-compose-airflow-1,5.95%,1.368GiB / 7.654GiB,17.88%
15:20:04,etl-scheduler-docker-compose-postgres-1,1.21%,44.04MiB / 7.654GiB,0.56%
15:20:10,etl-scheduler-docker-compose-airflow-1,7.87%,1.368GiB / 7.654GiB,17.88%
15:20:10,etl-scheduler-docker-compose-postgres-1,1.61%,44.03MiB / 7.654GiB,0.56%
15:20:18,etl-scheduler-docker-compose-airflow-1,2.61%,1.369GiB / 7.654GiB,17.88%
15:20:18,etl-scheduler-docker-compose-postgres-1,1.84%,44.19MiB / 7.654GiB,0.56%
15:20:26,etl-scheduler-docker-compose-airflow-1,7.87%,1.368GiB / 7.654GiB,17.88%
15:20:26,etl-scheduler-docker-compose-postgres-1,2.61%,44.04MiB / 7.654GiB,0.56%
15:20:32,etl-scheduler-docker-compose-airflow-1,5.39%,1.368GiB / 7.654GiB,17.88%
15:20:32,etl-scheduler-docker-compose-postgres-1,1.34%,44.35MiB / 7.654GiB,0.57%
15:20:40,etl-scheduler-docker-compose-airflow-1,7.45%,1.369GiB / 7.654GiB,17.88%
15:20:40,etl-scheduler-docker-compose-postgres-1,1.40%,44.03MiB / 7.654GiB,0.56%
15:20:48,etl-scheduler-docker-compose-airflow-1,11.63%,1.368GiB / 7.654GiB,17.88%
15:20:48,etl-scheduler-docker-compose-postgres-1,1.51%,44.03MiB / 7.654GiB,0.56%
15:20:54,etl-scheduler-docker-compose-airflow-1,6.96%,1.369GiB / 7.654GiB,17.88%
15:20:54,etl-scheduler-docker-compose-postgres-1,4.31%,44.04MiB / 7.654GiB,0.56%
15:21:02,etl-scheduler-docker-compose-airflow-1,5.76%,1.368GiB / 7.654GiB,17.88%
15:21:02,etl-scheduler-docker-compose-postgres-1,2.96%,44.03MiB / 7.654GiB,0.56%
15:21:10,etl-scheduler-docker-compose-airflow-1,6.27%,1.369GiB / 7.654GiB,17.88%
15:21:10,etl-scheduler-docker-compose-postgres-1,1.31%,44.18MiB / 7.654GiB,0.56%
15:21:17,etl-scheduler-docker-compose-airflow-1,3.32%,1.369GiB / 7.654GiB,17.88%
15:21:17,etl-scheduler-docker-compose-postgres-1,1.98%,44.03MiB / 7.654GiB,0.56%
15:21:24,etl-scheduler-docker-compose-airflow-1,2.72%,1.368GiB / 7.654GiB,17.88%
15:21:24,etl-scheduler-docker-compose-postgres-1,0.71%,44.03MiB / 7.654GiB,0.56%
15:21:32,etl-scheduler-docker-compose-airflow-1,6.72%,1.368GiB / 7.654GiB,17.88%
15:21:32,etl-scheduler-docker-compose-postgres-1,1.20%,44.07MiB / 7.654GiB,0.56%
15:21:38,etl-scheduler-docker-compose-airflow-1,3.29%,1.368GiB / 7.654GiB,17.88%
15:21:38,etl-scheduler-docker-compose-postgres-1,2.18%,44.17MiB / 7.654GiB,0.56%
15:21:46,etl-scheduler-docker-compose-airflow-1,5.38%,1.369GiB / 7.654GiB,17.88%
15:21:46,etl-scheduler-docker-compose-postgres-1,1.23%,44.03MiB / 7.654GiB,0.56%
15:21:54,etl-scheduler-docker-compose-airflow-1,2.85%,1.368GiB / 7.654GiB,17.88%
15:21:54,etl-scheduler-docker-compose-postgres-1,1.61%,44.02MiB / 7.654GiB,0.56%
15:22:01,etl-scheduler-docker-compose-airflow-1,8.73%,1.369GiB / 7.654GiB,17.88%
15:22:01,etl-scheduler-docker-compose-postgres-1,1.37%,44.04MiB / 7.654GiB,0.56%
